time,a,avg_photon,avg_axion,avg_neutrino,avg_energy
-0,-inf,-6238.76499999307,-254.7450000003375,6493.526000014069,1,inf
-500000,NaN,3895621734.326445,159075515.50516304,-4054697249.8164306,1,inf
-1000000,NaN,-2432511665641039.5,-99330241374210.17,2531841907025206.5,1,inf
-1500000,NaN,1518913643836251800000,62023981631556810000,-1580937625461028800000,1,inf
-2000000,NaN,-948442998243998000000000000,-38729134694709720000000000,987172132940189500000000000,1,inf
-2500000,NaN,592228613238683500000000000000000,24183321269332710000000000000000,-616411934506815300000000000000000,1,inf
-3000000,NaN,-369800537288556200000000000000000000000,-15100596288207126000000000000000000000,384901133576328700000000000000000000000,1,inf
-3500000,NaN,230911567461879620000000000000000000000000000,9429143570424152000000000000000000000000000,-240340711032583400000000000000000000000000000,1,inf
-4000000,NaN,-144186248021717300000000000000000000000000000000000,-5887764083980220000000000000000000000000000000000,150074012104933820000000000000000000000000000000000,1,inf
-4500000,NaN,90033056147551210000000000000000000000000000000000000000,3676449048583191000000000000000000000000000000000000000,-93709505196169500000000000000000000000000000000000000000,1,inf
-5000000,NaN,-56218615232451690000000000000000000000000000000000000000000000,-2295655432866852400000000000000000000000000000000000000000000,58514270665058330000000000000000000000000000000000000000000000,1,inf
-5500000,NaN,35104136567969080000000000000000000000000000000000000000000000000000,1433457609996924000000000000000000000000000000000000000000000000000,-36537594177909340000000000000000000000000000000000000000000000000000,1,inf
-6000000,NaN,-21919792920677747000000000000000000000000000000000000000000000000000000000,-895082376142870600000000000000000000000000000000000000000000000000000000,22814875296830470000000000000000000000000000000000000000000000000000000000,1,inf
-6500000,NaN,13687199534312882000000000000000000000000000000000000000000000000000000000000000,558909070276630000000000000000000000000000000000000000000000000000000000000000,-14246108604549723000000000000000000000000000000000000000000000000000000000000000,1,inf
-7000000,NaN,-8546587632940860000000000000000000000000000000000000000000000000000000000000000000000,-348995083762226350000000000000000000000000000000000000000000000000000000000000000000,8895582716678222000000000000000000000000000000000000000000000000000000000000000000000,1,inf
-7500000,NaN,5336676796748100000000000000000000000000000000000000000000000000000000000000000000000000000,217920185889953800000000000000000000000000000000000000000000000000000000000000000000000000,-5554596982643534000000000000000000000000000000000000000000000000000000000000000000000000000,1,inf
-8000000,NaN,-3332338057745148000000000000000000000000000000000000000000000000000000000000000000000000000000000,-136074144387460030000000000000000000000000000000000000000000000000000000000000000000000000000000,3468412202130430600000000000000000000000000000000000000000000000000000000000000000000000000000000,1,inf
-8500000,NaN,2080784981732424000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,84967680690815290000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-2165752662424649300000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,inf
-9000000,NaN,-1299287786891009600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-53055683682549710000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1352343470572200600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,inf
-9500000,NaN,811303795434652700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,33129132725727493000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-844432928157032200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,inf
-10000000,NaN,-506595886706514040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-20686557197789220000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,527282443902957500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,inf
-10500000,NaN,316329584393580440000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,12917140096563132000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-329246724491090950000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,inf
